"Indeksi cen stanovanjskih nepremiènin (povpreèje èetrtletij leta /"
"povpreèje èetrtletij prejšnjega leta) in število transakcij po:"
"STANOVANJSKE NEPREMIÈNINE, LETO , MERITVE"

" ";"2008";" ";"2009";" ";"2010";" ";"2011";" ";"2012";" ";"2013";" ";"2014";" ";"2015";" ";"2016";" "
" ";"Število transakcij";"Indeks cen";"Število transakcij";"Indeks cen";"Število transakcij";"Indeks cen";"Število transakcij";"Indeks cen";"Število transakcij";"Indeks cen";"Število transakcij";"Indeks cen";"Število transakcij";"Indeks cen";"Število transakcij";"Indeks cen";"Število transakcij";"Indeks cen"
"1 Stanovanjske nepremiènine - SKUPAJ";6994;107.0;5705;90.5;7923;100.1;6882;102.7;6336;93.1;5783;94.8;7448;93.4;9317;100.8;10652;103.3
"1.1 Nove stanovanjske nepremiènine";1426;111.1;1335;87.7;1589;97.4;1111;105.2;819;90.5;776;95.1;845;94.2;997;101.8;996;100.3
"1.1.1 Nova stanovanja";1163;112.2;971;85.3;1282;100.3;927;107.6;654;89.3;632;96.4;694;93.5;823;105.1;847;101.3
"1.1.2 Nove družinske hiše";263;-;364;96.8;307;91.9;184;98.2;165;95.9;144;92.2;151;97.6;174;87.9;149;95.1
"1.2 Rabljene stanovanjske nepremiènine";5568;104.8;4370;92.4;6334;102.1;5771;100.7;5517;94.4;5007;94.7;6603;93.1;8320;100.6;9656;103.8
"1.2.1 Rabljena stanovanja, Slovenija";4297;103.0;3522;91.7;4910;103.3;4441;101.0;4196;93.8;3781;95.3;4985;91.7;6201;102.9;7082;104.0
"1.2.1.1 Rabljena stanovanja, Ljubljana-obèina";1115;100.1;867;90.7;1418;99.5;1224;103.1;1185;93.9;1031;88.4;1492;92.4;1720;105.3;1962;106.0
"1.2.1.2 Rabljena stanovanja, preostala Slovenija";3182;104.8;2655;92.4;3492;105.5;3217;100.0;3011;93.7;2750;100.1;3493;91.3;4481;101.3;5120;102.6
"1.2.2 Rabljene družinske hiše";1271;108.7;848;93.8;1424;98.4;1330;99.7;1321;95.9;1226;93.5;1618;95.9;2119;95.7;103;103.0

"Vir: Statistièni urad Republike Slovenije."

"Povezane vsebine: "
"- (seznam HREF= http://www.stat.si/StatWeb/File/DocSysFile/8168 "
"target=_blank) Metodološka pojasnila"

