"2.4.3a Obrestne mere monetarnih finanènih institucij - nova posojila"
"gospodinjstvom v domaèi valuti po spremenljivkah: Datum, Frekvenca ,"
"Postavke"

" ";" ";"Gospodinjstva, stanovanjska posojila, variabilna in do 1 leta fiksna OM";"Gospodinjstva, stanovanjska posojila, fiksna OM nad 1 do 5 let";"Gospodinjstva, stanovanjska  posojila, fiksna OM nad 5 do 10 let";"Gospodinjstva, stanovanjska posojila, fiksna OM nad 10 let";"Gospodinjstva, z. stanovanjska posojila, variabilna in fiksna OM do 1 leta";"Gospodinjstva, z. stanovanjska posojila, fiksna OM nad 1 do 5 let";"Gospodinjstva, z. stanovanjska posojila, fiksna OM nad 5 in do 10 let";"Gospodinjstva, z. stanovanjska posojila, fiksna OM nad 10 let";"Efektivna obrestna mera, stanovanjska posojila"
"31.01.2014"
" ";"Meseèna";3,30;6,23;5,38;6,16;3,26;8,00;-;6,49;3,66
" ";"Letna";-;-;-;-;-;-;-;-;-
"28.02.2014"
" ";"Meseèna";3,33;5,23;5,42;6,16;3,30;5,37;5,64;6,28;3,72
" ";"Letna";-;-;-;-;-;-;-;-;-
"31.03.2014"
" ";"Meseèna";3,30;5,75;5,26;6,00;3,26;-;5,22;6,23;3,69
" ";"Letna";-;-;-;-;-;-;-;-;-
"30.04.2014"
" ";"Meseèna";3,30;6,00;5,58;5,94;3,30;8,50;6,70;-;3,68
" ";"Letna";-;-;-;-;-;-;-;-;-
"31.05.2014"
" ";"Meseèna";3,31;5,41;5,23;4,77;3,28;4,73;5,38;4,84;3,70
" ";"Letna";-;-;-;-;-;-;-;-;-
"30.06.2014"
" ";"Meseèna";3,25;6,02;4,84;4,80;3,22;5,54;4,39;4,71;3,64
" ";"Letna";-;-;-;-;-;-;-;-;-
"31.07.2014"
" ";"Meseèna";3,19;5,88;5,20;4,04;3,16;6,49;4,39;4,12;3,56
" ";"Letna";-;-;-;-;-;-;-;-;-
"31.08.2014"
" ";"Meseèna";3,17;6,20;5,01;4,24;3,18;5,12;-;4,35;3,56
" ";"Letna";-;-;-;-;-;-;-;-;-
"30.09.2014"
" ";"Meseèna";3,13;5,79;5,09;4,15;3,15;-;5,01;4,07;3,51
" ";"Letna";-;-;-;-;-;-;-;-;-
"31.10.2014"
" ";"Meseèna";2,99;4,69;4,65;4,10;2,99;3,53;4,85;4,07;3,36
" ";"Letna";-;-;-;-;-;-;-;-;-
"30.11.2014"
" ";"Meseèna";2,94;4,77;4,72;3,95;2,95;2,02;4,69;4,25;3,28
" ";"Letna";-;-;-;-;-;-;-;-;-
"31.12.2014"
" ";"Meseèna";2,89;5,87;4,38;4,16;2,89;4,85;4,07;4,20;3,19
" ";"Letna";3,18;5,65;5,06;4,87;3,16;5,41;5,03;4,87;3,55
"31.01.2015"
" ";"Meseèna";2,81;5,93;4,17;2,93;2,81;4,03;3,49;2,81;3,20
" ";"Letna";-;-;-;-;-;-;-;-;-
"28.02.2015"
" ";"Meseèna";2,60;3,92;4,85;2,98;2,63;1,77;2,76;3,00;2,95
" ";"Letna";-;-;-;-;-;-;-;-;-
"31.03.2015"
" ";"Meseèna";2,61;5,05;3,34;2,90;2,61;2,65;3,14;2,81;2,98
" ";"Letna";-;-;-;-;-;-;-;-;-
"30.04.2015"
" ";"Meseèna";2,54;4,11;3,49;3,70;2,51;4,49;3,59;3,65;3,02
" ";"Letna";-;-;-;-;-;-;-;-;-
"31.05.2015"
" ";"Meseèna";2,52;3,88;3,50;3,65;2,50;3,97;3,30;3,68;3,01
" ";"Letna";-;-;-;-;-;-;-;-;-
"30.06.2015"
" ";"Meseèna";2,45;3,71;3,39;3,44;2,41;3,04;3,18;3,43;3,04
" ";"Letna";-;-;-;-;-;-;-;-;-
"31.07.2015"
" ";"Meseèna";2,40;3,57;3,38;3,49;2,37;3,25;3,20;3,51;2,97
" ";"Letna";-;-;-;-;-;-;-;-;-
"31.08.2015"
